Id#,Producto,Descripción Detallada,Beneficios / Usos Principales,Palabras Clave / Síntomas (Qué buscaría el cliente),Proveedor,Especificación,Cantidad, Precio 
10001,Óxido Nítrico (Prowinner),"Suplemento en polvo (pre-entreno) con Arginina, Citrulina y Carnitina. Actúa como precursor del óxido nítrico, un vasodilatador.","Mejora el flujo sanguíneo y la oxigenación muscular. Aumenta la energía, el rendimiento deportivo y la """"bomba"""" (congestión) muscular.","Quiero rendir más en el gym, Pre-entreno, Fatiga muscular, Mala circulación, Bomba para ejercicio, Vasodilatador",Prowinner,"Citrulina, Arginina, Carnitina",600g, $300.00 
10002,Vitamix Kids (GN+VIDA),"Multivitamínico líquido en formato de ampolletas bebibles, diseñado para niños y adolescentes.","Complementa la nutrición diaria, apoya el crecimiento y desarrollo, fortalece el sistema inmunológico y ayuda a combatir la falta de apetito.","Vitaminas para niños, Mi hijo no come bien, Falta de apetito, Reforzar defensas niños, Crecimiento",GN+VIDA,adolescentes y niñas Solución Ingerible,10 ampolletas de 10 ml, $300.00 
10003,Uña Maravilla Quita Hongos (KJ Beauty),Esmalte de tratamiento tópico transparente. Formulado para combatir infecciones fúngicas en las uñas.,Elimina eficazmente los hongos de las uñas (onicomicosis) de pies y manos. Ayuda a restaurar la apariencia saludable de la uña.,"Hongos en las uñas, Onicomicosis, Uñas amarillas, Tratamiento para hongos, Pie de atleta",KJ Beauty,Quita Hongos,15 ml, $300.00 
10004,Uña Super Poderosa (KJ Beauty),Esmalte de tratamiento fortalecedor. Formulado para reparar y endurecer uñas dañadas.,"Endurece las uñas, previene que se rompan, quiebren o descarapelen. Promueve un crecimiento más fuerte y saludable.","Uñas débiles, Uñas quebradizas, Se me rompen las uñas, Fortalecedor de uñas, Uñas delgadas",KJ Beauty,tratamiento fortalecedor de uñas,15 ml, $300.00 
10005,Endurecedor de uñas (Prosa),Esmalte fortalecedor de uñas enriquecido con extracto de Ajo y Calcio.,Endurece y fortalece las uñas débiles. El ajo aporta propiedades antisépticas y el calcio refuerza la estructura de la uña.,"Uñas débiles, Endurecedor con ajo, Uñas quebradizas, Crecimiento de uñas, Tratamiento con calcio",Prosa,con ajo y calcio,15 ml, $300.00 
10006,Crema Contorno de Ojos 4 en 1 (PROSA),Crema ligera formulada específicamente para la piel delicada alrededor de los ojos.,"Ayuda a disminuir la apariencia de ojeras oscuras, reduce bolsas (hinchazón), atenúa líneas finas (""""patas de gallo"""") e hidrata.","Ojeras, Bolsas en los ojos, Patas de gallo, Ojos hinchados, Arrugas en los ojos, Contorno de ojos",#N/A,#N/A,#N/A, $300.00 
10007,Aceite Desmaquillante (PROSA),"Desmaquillante líquido (a menudo bifásico) con una mezcla de aceites, como el """"4 en 1"""".","Disuelve y retira eficazmente el maquillaje a prueba de agua (rímel, delineador) sin frotar excesivamente.","Desmaquillante, Quitar rímel a prueba de agua, Limpieza facial, No me puedo quitar el maquillaje",PROSA,4 en 1,15 ml, $300.00 
10008,Mascara para Pestañas (PROSA),"Rímel (máscara de pestañas). Vienen en varias presentaciones (Profesional, Maxi-Volumen, Silicón, 4 Aceites).","(Todas):"""" Alargan, dan volumen y definen las pestañas. """"(Específicas):"""" • """"4 Aceites:"""" Famosa por nutrir y fortalecer las pestañas, ayudando a su crecimiento (con hueso de mamey, jojoba, etc.).• """"Maxi-Volumen:"""" Da grosor y apariencia de más pestañas.• """"Profesional:"""" Define y alarga con un acabado más natural.","Rímel, Crecimiento de pestañas (para 4 Aceites), Pestañas débiles, Pestañas con volumen, Pestañas largas, Maquillaje de ojos, Rímel que no baje las pestañas",PROSA,Profesional efecto alargador,13g, $300.00 
10009,Hongo Michoacano (Fuerza y vida),"Suplemento líquido (jarabe o tónico) con Vitamina C. El """"Hongo Michoacano"""" (Ganoderma) es conocido como Reishi.","Fortalece el sistema inmunológico, combate la fatiga crónica. Usado como adaptógeno para manejar el estrés.","Defensas bajas, Cansancio, Fatiga, Estrés, Quiero reforzar mi sistema inmune, Reishi, Ganoderma",Fuerza y vida,Vitamina C,1000 ml, $300.00 
10010,Aloe Vera (Prosa),"Bebida (jugo) bebible de Sábila (Aloe Vera) en presentación de 1 Litro, con sabores tropical y mango.","Ayuda a la digestión, cicatriza internamente. Útil para aliviar gastritis, colitis, acidez e indigestión.","Gastritis, Colitis, Acidez, Reflujo, Mala digestión, Sábila para tomar, Jugo de Aloe",Prosa,Sabor tropical,1 Litro, $300.00 
10011,Suplemento Alimenticio (GN+VIDA),Suplemento líquido bebible a base de Sábila (Aloe Vera).,"Similar al producto de Prosa, enfocado en la salud gastrointestinal. Alivia la inflamación estomacal, gastritis y colitis.","Gastritis, Colitis, Inflamación estomacal, Sábila, Acidez",GN+VIDA,a base de Sábila,1 Litro, $300.00 
10012,DUO-SOFT Tinte Permanente,"Tinte para el cabello, cuya característica principal es ser """"sin amoniaco"""". Incluye varios tonos (Rubio, Castaño, Negro, Chocolate).","Cubre canas y cambia el color del cabello de forma permanente, pero con una fórmula menos agresiva que evita el maltrato y los olores fuertes del amoniaco.","Tinte sin amoniaco, Tinte que no maltrate, Cubrir canas, Tinte para cabello sensible, Pintar el cabello",-,sin amoniaco - Rubio cenizo 8.1,-, $300.00 
10013,L'ELITE Tinte al agua permanente,"Tinte para el cabello """"sin peróxido y sin amoniaco"""", a base de agua. Una fórmula extra suave.","Tinte de depósito. Ideal para personas con cuero cabelludo muy sensible, alergias a los químicos de tintes tradicionales, o cabello muy dañado.","Tinte para alérgicos, Tinte sin peróxido, Tinte de agua, El tinte más suave, Cabello muy maltratado",-,"sin peróxido, sin amoniaco - Negro natural 007",-, $300.00 
10014,"L'ELITE Tinte (Cabello, barba y bigote)","Tinte permanente sin peróxido ni amoniaco, diseñado específicamente para teñir vello facial además del cabello.","Cubre canas en barba, bigote y cabello con una fórmula suave que no irrita la piel sensible de la cara.","Tinte para barba, Cubrir canas de la barba, Tinte para bigote, Tinte facial hombre",-,"sin peróxido, sin amoniaco - Negro natural 007",-, $300.00 
10015,Solución Antiséptica para manos (Grupo NV24),Solución desinfectante para manos en presentación grande (1 Litro). Probablemente a base de alcohol o un agente sanitizante.,"Desinfección de manos de grado profesional o para rellenar dispensadores. Elimina gérmenes, bacterias y virus.","Desinfectante de manos, Sanitizante, Gel antibacterial, Limpiar manos, Relleno de gel",Grupo NV24,0,1 Litro, $300.00 
10016,Andros Tónico capilar,Tónico (líquido) para aplicación directa en el cuero cabelludo.,"Estimula los folículos pilosos, ayuda a frenar la caída del cabello y promueve el crecimiento de cabello nuevo.","Caída de cabello, Poco cabello, Estimular crecimiento de cabello, Tónico para el pelo, Alopecia",0,0,120 ml, $300.00 
10017,Andros Shampoo Minoxidil,Shampoo de tratamiento que contiene Minoxidil como ingrediente activo.,"Limpia el cabello mientras aplica Minoxidil, un ingrediente comprobado para ayudar a frenar la caída del cabello (alopecia androgénica) y estimular el crecimiento.","Shampoo para la caída, Shampoo con Minoxidil, Alopecia, Se me cae el cabello, Shampoo para que crezca el cabello",0,Minoxidil,400 ml, $300.00 
10018,Hiper Linafrut,"Suplemento en polvo a base de linaza, nopal y frutas. La versión """"adicionada"""" incluye Jamaica.","Alto contenido de fibra. Ayuda a regular el tránsito intestinal (estreñimiento), promueve la saciedad y apoya la salud digestiva.","Estreñimiento, Mala digestión, Fibra para la digestión, Limpieza de colon, Quiero ir al baño",Centro Naturista Oriental,0,500g, $300.00 
10019,Grenetina Hidrolizada (Dragon King),"Colágeno hidrolizado en polvo (grenetina), en sabores natural y de frutas (rojos, blueberry).","Nutriente principal para articulaciones, cabello, piel y uñas. Ayuda a reducir el dolor articular, fortalecer las uñas y mejorar la elasticidad de la piel.","Dolor de rodilla, Dolor de articulaciones, Uñas quebradizas, Caída de cabello, Colágeno en polvo, Piel flácida",Laboratorios Dragon King,Natural,500g, $300.00 
10020,Hierbas Suecas,"Tónico amargo tradicional europeo. Una maceración de múltiples hierbas (como en """"El jardin prehispanico"""").","Tónico digestivo. Se usa para aliviar la indigestión, gases, pesadez estomacal y estimular la función hepática (hígado).","Indigestión, Pesadez, Gases, Mala digestión, Tónico amargo, Salud del hígado",El jardin prehispanico,0,500 ml, $300.00 
10021,Grenetina Hidrolizada (GODVIT),"Colágeno hidrolizado en polvo (grenetina), con sabores (fresa, piña, coco).","Similar al producto de Dragon King. Fortalece articulaciones, huesos, piel, cabello y uñas.","Dolor de articulaciones, Colágeno, Fortalecer uñas y cabello, Piel más firme",Laboratorios Dragon King,Natural,500g, $300.00 
10022,Té de menta (GN+VIDA),Infusión de hojas de menta.,"Alivia malestares estomacales como indigestión, gases y náuseas. También es refrescante y ayuda a calmar el estrés.","Dolor de estómago, Gases, Indigestión, Náuseas, Mal aliento, Té para después de comer",GN+VIDA,0,30 sobres de 3g, $300.00 
10023,Té de hierba del sapo (GN+VIDA),"Infusión de la planta """"Hierba del Sapo"""" (Eryngium carlinae).",Tradicionalmente usada para apoyar la salud renal (riñones) y ayudar a disolver cálculos. También se usa para el colesterol.,"Riñones, Dolor de riñón, Cálculos renales, Piedras en el riñón, Colesterol alto",GN+VIDA,0,30 sobres de 3g, $300.00 
10024,Té de diente de león (GN+VIDA),"Infusión de diente de león, con equinácea y té verde.","Potente diurético, ayuda a eliminar líquidos retenidos. Apoya la desintoxicación del hígado. La equinácea refuerza las defensas.","Retención de líquidos, Desintoxicar, Limpieza de hígado, Bajar de peso, Reforzar defensas",GN+VIDA,con equinacea y té verde,30 sobres de 3g, $300.00 
10025,Té de Cítricos (GN+VIDA),Infusión de cáscaras de frutas cítricas.,"Aporta Vitamina C, ayuda a reforzar el sistema inmunológico (defensas) y es un digestivo ligero.","Gripa, Resfriado, Defensas bajas, Té para la gripa, Vitamina C",GN+VIDA,0,30 sobres de 3g, $300.00 
10026,Té Nutribango (GN+VIDA),Infusión de té que contiene propóleo.,"Combina los beneficios de un té con el propóleo, un antiséptico natural. Usado para aliviar el dolor de garganta e infecciones leves.","Dolor de garganta, Tos, Gripa, Irritación de garganta, Propóleo",GN+VIDA,con propoleo,30 sobres de 3g, $300.00 
10027,Té negro (GN+VIDA),Infusión de hojas de té negro (Camellia sinensis).,"Estimulante natural (contiene teína/cafeína). Proporciona energía, mejora el enfoque mental y es rico en antioxidantes.","Energía, Despertar, Sustituto de café, Té con cafeína, Antioxidantes",GN+VIDA,0,30 sobres de 3g, $300.00 
10028,Té de Moringa (GN+VIDA),Infusión de hojas del árbol de Moringa.,"Considerado un """"superalimento"""". Rico en vitaminas, minerales y antioxidantes. Ayuda a combatir la fatiga y reforzar el sistema inmunológico.","Fatiga, Defensas bajas, Anemia, Vitaminas naturales, Superfood",GN+VIDA,0,30 sobres de 3g, $300.00 
10029,Té de Arnica (GN+VIDA),Infusión de la flor de Árnica.,"Propiedades antiinflamatorias y analgésicas. Usada tópicamente para golpes y moretones, y en infusión (con precaución) para inflamación interna.","Inflamación, Dolor muscular, Golpes, Moretones, Antiinflamatorio natural",GN+VIDA,0,30 sobres de 3g, $300.00 
10030,Té de Cuachalalate (GN+VIDA),Infusión de la corteza del árbol de Cuachalalate.,"Potente gastroprotector. Usado tradicionalmente para aliviar gastritis, úlceras, acidez estomacal y problemas de colitis.","Gastritis, Úlceras, Acidez estomacal, Colitis, Dolor de estómago, Mala digestión",GN+VIDA,0,30 sobres de 3g, $300.00 
10031,Té de Damiana (GN+VIDA),Infusión de hojas de Damiana.,Conocida como un afrodisíaco natural y un tónico para el sistema nervioso. Ayuda a aumentar la libido y a reducir el estrés y la ansiedad.,"Aumentar libido, Deseo sexual, Afrodisíaco, Estrés, Ansiedad, Impotencia leve",GN+VIDA,0,30 sobres de 3g, $300.00 
10032,Té 7 Azares (GN+VIDA),"Mezcla de 7 flores y plantas relajantes (como Pasiflora, Tila, Valeriana, Flor de Azahar).","Tónico relajante para el sistema nervioso. Ayuda a calmar la ansiedad, el estrés, el nerviosismo y a conciliar el sueño.","Ansiedad, Estrés, Nervios, No puedo dormir, Insomnio, Relajante natural",GN+VIDA,0,30 sobres de 3g, $300.00 
10033,Té de frutos Rojos (GN+VIDA),"Infusión de una mezcla de bayas (fresas, frambuesas, arándanos, etc.).","Muy alto en antioxidantes. Ayuda a combatir el envejecimiento celular, fortalece las defensas y apoya la salud cardiovascular.","Antioxidantes, Saludable, Defensas, Salud del corazón, Té de sabor",GN+VIDA,0,30 sobres de 3g, $300.00 
10034,Té de hojas de Mango (GN+VIDA),Infusión hecha con las hojas del árbol de mango.,Ayuda a regular los niveles de glucosa (azúcar) en la sangre. También se usa para la tos y problemas respiratorios leves.,"Diabetes, Bajar el azúcar, Glucosa alta, Tos, Resfriado",GN+VIDA,0,30 sobres de 3g, $300.00 
10035,Té Verde (GN+VIDA),Infusión de hojas de té verde (Camellia sinensis).,"Rico en antioxidantes (catequinas). Acelera el metabolismo (ayudando a quemar grasa), proporciona energía y mejora el enfoque mental.","Bajar de peso, Quemar grasa, Energía, Metabolismo, Antioxidantes, Sustituto de café",GN+VIDA,0,30 sobres de 3g, $300.00 
10036,Té Sin Kilos (GN+VIDA),Mezcla de tés y hierbas con propiedades diuréticas y laxantes suaves.,"Formulado para apoyar la pérdida de peso, ayudando a eliminar líquidos retenidos y mejorar la digestión.","Bajar de peso, Adelgazar, Diurético, Retención de líquidos, Quemar grasa",GN+VIDA,0,30 sobres de 3g, $300.00 
10037,Té Piña lim (GN+VIDA),Infusión a base de piña y limón.,Mezcla digestiva y diurética. Ayuda a desinflamar el estómago y a eliminar líquidos retenidos.,"Desinflamar, Diurético, Retención de líquidos, Digestión, Bajar de peso",GN+VIDA,0,30 sobres de 3g, $300.00 
10038,Té Piña Lim Plus (GN+VIDA),"Una versión reforzada del """"Piña lim"""", probablemente con más hierbas diuréticas o laxantes (como la hoja de sen).","Apoyo más fuerte para la pérdida de peso, combinando efectos diuréticos y laxantes para una """"limpieza"""" digestiva.","Bajar de peso rápido, Laxante, Limpieza de colon, Diurético fuerte",GN+VIDA,0,30 sobres de 3g, $300.00 
10039,Té Chupa Grass (GN+VIDA),Mezcla de hierbas con jengibre.,"Formulado para acelerar el metabolismo y ayudar a """"quemar grasa"""" (lipólisis). El jengibre es un potente digestivo y antiinflamatorio.","Quemar grasa, Bajar de peso, Metabolismo lento, Jengibre, Adelgazar",GN+VIDA,jengibre,30 sobres de 3g, $300.00 
10040,Té Chupa panza (GN+VIDA),"Mezcla popular de hierbas (como jengibre, canela, linaza) diseñada para reducir la inflamación abdominal.","Ayuda a desinflamar el vientre, eliminar gases, mejorar la digestión y eliminar líquidos retenidos en la zona abdominal.","Desinflamar el estómago, Bajar la panza, Gases, Digestión lenta, Vientre plano",GN+VIDA,jengibre,30 sobres de 3g, $300.00 
10041,Té Chai (GN+VIDA),"Mezcla de té negro con especias aromáticas (canela, cardamomo, clavo, jengibre).",Energético y digestivo. Proporciona energía (como el té negro) y las especias ayudan a la digestión y a la inflamación.,"Energía, Digestión, Té con especias, Sabor exótico, Frío",#N/A,#N/A,#N/A, $300.00 
10042,Wereke con Moringa (Alexyessy),Extracto líquido que combina Wereke (raíz) y Moringa (hoja).,Usado tradicionalmente para controlar los niveles de azúcar en sangre (diabetes). La moringa añade un alto valor nutricional.,"Diabetes, Bajar el azúcar, Glucosa alta, Controlar diabetes, Nutrición",Alexyessy natural,0,1000 ml, $300.00 
10043,Silymarin (Alexyessy),Extracto líquido de Silimarina (Cardo Mariano).,"El protector hepático más conocido. Ayuda a desintoxicar, regenerar y proteger el hígado.","Hígado graso, Desintoxicar el hígado, Limpieza hepática, Protector de hígado, Cirrosis, Resaca",Alexyessy natural,0,1000 ml, $300.00 
10044,Compuesto Vegetal DEL INDIO (Alexyessy),Tónico o extracto líquido con una mezcla de varias hierbas (el nombre es genérico).,"Generalmente son tónicos """"reforzados"""" para la salud general, defensas o problemas específicos como riñones o digestión (depende de la fórmula exacta).","Tónico general, Defensas, Salud de riñones, Extracto herbal",Alexyessy natural,0,1000 ml, $300.00 
10045,"Shampoo Huichol (Chile, romero y espinosilla)","Shampoo herbal artesanal con extractos de chile, romero y espinosilla.","Estimula la circulación en el cuero cabelludo, ayuda a frenar la caída del cabello y promueve el crecimiento. El romero también ayuda a oscurecer las canas gradualmente.","Caída de cabello, Shampoo de chile, Crecimiento de cabello, Estimular el cuero cabelludo, Cubrir canas naturalmente",0,"Chile, romero y espinosilla",400 ml, $300.00 
10046,Shampoo Huichol (de Bergamota),Shampoo herbal artesanal con aceite esencial de Bergamota.,Tradicionalmente usado para estimular el crecimiento del cabello y el vello facial (barba). También tiene propiedades antisépticas que ayudan con la caspa.,"Crecimiento de cabello, Shampoo de bergamota, Crecimiento de barba, Shampoo para hombre",0,"Chile, romero y espinosilla",400 ml, $300.00 
10047,Shampoo Huichol (400 ml),"(Fila duplicada en la lista original, probablemente uno de los anteriores).",(Ver beneficios de Chile/Romero o Bergamota).,(Ver palabras clave anteriores).,0,"Chile, romero y espinosilla",400 ml, $300.00 
10048,Shampoo Baño Botanico (Crecimiento),Shampoo de tratamiento con una mezcla de extractos botánicos (hierbas).,"Formulado específicamente para nutrir el folículo piloso y acelerar el crecimiento del cabello, dándole fuerza y brillo.","Crecimiento de cabello, Shampoo de hierbas, Cabello más largo, Shampoo para que crezca el pelo",0,"Chile, romero y espinosilla",400 ml, $300.00 
10049,Shampoo Baño Botanico (Anticaída),Shampoo de tratamiento con una mezcla de extractos botánicos (hierbas).,"Formulado para fortalecer el cabello desde la raíz, reduciendo la caída por quiebre y fortaleciendo el folículo.","Caída de cabello, Se me cae el cabello, Shampoo anticaída, Fortalecer el cabello, Cabello débil",0,"Chile, romero y espinosilla",400 ml, $300.00 
10050,Pekys Shampoo (anti piojos),Shampoo medicado (o herbal fuerte) diseñado para eliminar piojos y liendres.,Tratamiento efectivo para la pediculosis (infestación por piojos). Mata a los piojos y ayuda a desprender las liendres del cabello.,"Piojos, Liendres, Tratamiento para piojos, Mi hijo tiene piojos, Shampoo para la comezón",Cuarzo,anti piojos,550 ml, $300.00 
10051,Erapio (Loción en spray anti piojos),"Loción o spray complementario al shampoo, probablemente para aplicar en cabello seco o en peines y sábanas.",Ayuda a repeler piojos (preventivo) y a matar los piojos y liendres restantes después del shampoo. Facilita el peinado con peine liendrera.,"Piojos, Repelente de piojos, Spray para piojos, Eliminar liendres, Complemento para piojos",#N/A,#N/A,#N/A, $300.00 
10052,Shampoo HERBÁRICO (Anticaída),Shampoo de tratamiento herbal (similar al Baño Botánico).,Formulado con una mezcla de hierbas para fortalecer el cabello y prevenir la caída.,"Caída de cabello, Shampoo herbal, Shampoo anticaída, Fortalecer el cabello",0,"Chile, romero y espinosilla",400 ml, $300.00 
10053,Cacao puro en polvo (OKKO),"Polvo de cacao 100% puro, sin azúcares ni grasas añadidas.","Alto en antioxidantes (flavonoides), magnesio y teobromina. Mejora el estado de ánimo, la salud del corazón y proporciona energía.","Antioxidantes, Salud del corazón, Energía, Sustituto de chocolate, Cacao sin azúcar, Mejorar el ánimo",#N/A,#N/A,#N/A, $300.00 
10054,QUINOA Grano entero (OKKO),Grano integral de quinoa.,"Fuente de proteína completa (contiene todos los aminoácidos esenciales). Rica en fibra, vitaminas y minerales.","Proteína vegetal, Sustituto de arroz, Comida saludable, Sin gluten, Fibra, Vegano",#N/A,#N/A,#N/A, $300.00 
10055,LINAZA Semillas enteras (OKKO),Semillas de linaza.,Excelente fuente de fibra soluble e insoluble y ácidos grasos Omega-3. Ayuda a la digestión (estreñimiento) y a la salud cardiovascular.,"Estreñimiento, Fibra, Omega 3, Mala digestión, Bajar colesterol, Limpieza de colon",#N/A,#N/A,#N/A, $300.00 
10056,MACA Gelatinizada Organica (OKKO),Raíz de maca en polvo que ha pasado por un proceso de gelatinización para hacerla más fácil de digerir.,"Adaptógeno. Aumenta la energía, la resistencia y la libido. Ayuda a regular el equilibrio hormonal (síntomas de menopausia).","Energía, Fatiga, Aumentar libido, Menopausia, Hormonas, Resistencia física, Estrés",#N/A,#N/A,#N/A, $300.00 
10057,CÚRCUMA en polvo (OKKO),Polvo de la raíz de cúrcuma (Curcuma longa).,"Contiene curcumina, un potente antiinflamatorio natural. Ayuda a reducir el dolor articular y la inflamación general del cuerpo.","Antiinflamatorio natural, Dolor de articulaciones, Artritis, Inflamación, Dolor de rodilla",#N/A,#N/A,#N/A, $300.00 
10058,Rice Cakes (OKKO),"Tortitas de arroz inflado (Honey, Brown Rice, Quinoa, Corn).","Snack ligero, bajo en calorías y a menudo sin gluten. Sirve como base para toppings dulces o salados.","Snack saludable, Bajo en calorías, Sin gluten, Sustituto de pan, Dieta",#N/A,#N/A,#N/A, $300.00 
10059,Hongos adaptógenos (TERRA MAGICA),"Mezcla liofilizada de hongos: Cordyceps, Shitake, Melena de león, Cola de pavo, Reishi, Maitake.","Apoyo integral. Mejoran el sistema inmunológico (defensas), reducen el estrés, aumentan la energía y mejoran la claridad mental (cognición).","Defensas bajas, Estrés, Ansiedad, Falta de energía, Poca concentración, Sistema inmune, Adaptógenos, Niebla mental",TERRA MAGICA,"liofilizados (Cordyceps, Shitake, Melena de león, Cola de pavo, Reishi, Maitake)",Cont. 100g, $300.00 
10060,Té de fresa y Cereza (GN+VIDA),Infusión frutal.,Principalmente para disfrutar de una bebida sabrosa y sin calorías. Aporta algunos antioxidantes de las frutas.,"Té de sabor, Bebida sin calorías, Antojos dulces, Té frutal",GN+VIDA,0,30 sobres de 3g, $300.00 
10061,Selección de Tés Gourmet (GN+VIDA),"Paquete de variedad de tés frutales (Zarzamora, frambuesa, Arandano, fresa cereza).",Similar al anterior. Ofrece una variedad de sabores frutales ricos en antioxidantes.,"Té de sabores, Antioxidantes, Caja de tés, Regalo",GN+VIDA,"Zarzamora, frambuesa, Arandano, fresa cereza",60 sobres de 3g (15 de cada sabor), $300.00 
10062,Linaza Molida (GN+VIDA),Semillas de linaza ya molidas.,Más fácil de digerir que la entera. Mismos beneficios: alta en fibra y Omega-3 para la digestión y el corazón.,"Estreñimiento, Fibra, Omega 3, Mala digestión, Bajar colesterol",GN+VIDA,0,1 Kg, $300.00 
10063,Semilla de Linaza Canadiense (GN+VIDA),Semillas de linaza enteras (la variedad Canadiense es muy popular por su calidad).,(Mismos beneficios que la linaza entera de OKKO).,"Estreñimiento, Fibra, Omega 3, Mala digestión, Bajar colesterol",GN+VIDA,0,1 Kg, $300.00 
10064,OMEGA 3000 (GODVIT),Cápsulas de aceite de pescado (Omega 3) de alta concentración (EPA y DHA).,"Antiinflamatorio natural. Ayuda a reducir los niveles de triglicéridos y colesterol, apoya la salud del corazón y la función cerebral.","Bajar triglicéridos, Bajar colesterol, Salud del corazón, Memoria, Dolor de articulaciones, Inflamación",GODVIT GN+VIDA,0,60 caps. de 600 mg, $300.00 
10065,VITAMINA E (GN+VIDA),"Cápsulas de Vitamina E (Tocoferol), un potente antioxidante liposoluble.","Protege las células del daño de los radicales libres (estrés oxidativo). Ayuda a la salud de la piel, la visión y el sistema inmunológico.","Antioxidante, Salud de la piel, Cicatrización, Defensas, Antienvejecimiento, Radicales libres",GN+VIDA,0,90 caps. de 1000 mg, $300.00 
10066,NEC-BAYL MORADO (GN+VIDA),"Cápsulas con jengibre, vitaminas y minerales.",Fórmula diseñada para favorecer la concentración y la capacidad mental. Apoya el sistema inmunológico y la rehabilitación muscular y nerviosa.,"Concentración, Falta de memoria, Capacidad mental, Sistema inmune, Rehabilitación muscular, Nervios",GN+VIDA,"jengibre, vitaminas y minerales",15 caps. de 500 mg c/u, $300.00 
10067,Cloruro de Magnesio (GODVIT),Cápsulas de Cloruro de Magnesio.,"Mineral esencial para el cuerpo. Ayuda a relajar los músculos (calambres), reduce el estrés y la ansiedad, mejora la digestión (laxante suave) y apoya la salud ósea.","Estrés, Ansiedad, Calambres, No puedo dormir, Laxante, Estreñimiento, Salud de huesos",GODVIT GN+VIDA,0,30 caps. de 500 mg, $300.00 
10068,Plata Coloidal (Bio Silver),"Solución de partículas microscópicas de plata en agua, en formato spray.","Potente desinfectante y antimicrobiano. Se usa principalmente para desinfectar agua, frutas, verduras, y tópicamente para heridas o quemaduras.","Desinfectante, Desinfectar agua, Desinfectar frutas, Antiséptico, Heridas, Quemaduras, Infecciones",Bio Silver,Spray,300 ml, $300.00 
10069,Shilajit (GODVIT),"Cápsulas de Shilajit, una resina natural rica en ácido fúlvico y minerales.","Potente adaptógeno. Aumenta la energía, la resistencia y la vitalidad. Apoya la función cognitiva (cerebro), la testosterona y el sistema inmunológico.","Fatiga crónica, Cansancio, Falta de energía, Poca resistencia, Aumentar libido, Testosterona, Niebla mental",GODVIT GN+VIDA,0,30 caps. de 500 mg c/u, $300.00 
10070,Ashwagandha + Citrato de Magnesio (GODVIT),Combinación de la hierba adaptógena Ashwagandha con Magnesio.,Fórmula sinérgica para combatir el estrés. La Ashwagandha reduce el cortisol (estrés/ansiedad) y el Magnesio relaja el sistema nervioso y ayuda a dormir.,"Estrés, Ansiedad, Insomnio, No puedo dormir, Relajante, Calmante, Cortisol, Nervios",GODVIT GN+VIDA,0,60 caps. de 500 mg, $300.00 
10071,Acido Folico (GODVIT),Tabletas de Ácido Fólico (Vitamina B9).,Esencial para la creación y reparación de células nuevas. Crucial durante el embarazo para prevenir defectos del tubo neural. También ayuda a combatir ciertos tipos de anemia.,"Embarazo, Vitaminas prenatales, Anemia, Crecimiento celular, Falta de apetito",GODVIT GN+VIDA,0,60 Tabletas de 500 mg c/u, $300.00 
